Site,Layer,Unit,GridX,GridY,X (nm),Y (nm),EdgeDistance (nm),Area (nm2),MinorLength,MajorLength,Eccentricity ,RMSDeviation,RMSDeviationPercentage,ROI Deviation,StdSlope
1,12,0,25,3,2.04E-06,1.89E-06,0,12194.5172,123.108036,126.1212684,0.217283896,0.872392453,0.691709229,46.1014251,0.276261574
1,12,0,0,4,-1.96E-06,1.78E-06,0,11768.8103,120.0228025,124.8472325,0.27530361,0.749745777,0.600530554,48.0083618,0.258432864
1,12,0,1,4,-1.80E-06,1.78E-06,0,11838.6638,121.4833083,124.0784038,0.203451454,0.960206663,0.773870902,48.40660623,0.347743488
1,12,0,2,4,-1.64E-06,1.78E-06,0,12142.4034,119.6324428,129.2307329,0.378191225,1.065487556,0.82448465,47.64915888,0.307993377
1,12,0,3,4,-1.49E-06,1.78E-06,0,11652.1689,118.273858,125.4377135,0.33310669,0.906107177,0.722356261,47.35474706,0.366101747
1,12,0,4,4,-1.33E-06,1.78E-06,0,12098.3057,121.6121585,126.6653059,0.279635278,1.202225722,0.949135766,47.68897458,0.334171304
1,12,0,5,4,-1.17E-06,1.77E-06,0,11727.7177,119.6260704,124.8239117,0.285567466,0.940832853,0.753728063,47.38195626,0.293371374
1,12,0,6,4,-1.02E-06,1.77E-06,0,11618.5036,118.1949944,125.1587543,0.328911971,0.757852194,0.605512733,47.20019149,0.378285104
1,12,0,7,4,-8.57E-07,1.77E-06,0,11880.4771,120.6955508,125.3293367,0.269404449,1.095458537,0.874063939,46.74681151,0.291078293
1,12,0,8,4,-7.02E-07,1.77E-06,0,11688.123,117.7808547,126.3514394,0.362024238,0.806583165,0.638364841,45.49896075,0.416292786
1,12,0,9,4,-5.44E-07,1.77E-06,0,11773.2155,117.6116491,127.4544122,0.385341007,1.574266261,1.235160269,44.63134644,0.474010838
1,12,0,10,4,-3.88E-07,1.77E-06,0,12138.1392,120.6233367,128.1241199,0.337133365,1.012098644,0.789936075,44.07558178,0.320855052
1,12,0,11,4,-2.31E-07,1.77E-06,0,11822.1026,120.141738,125.2884208,0.28367217,1.268476803,1.01244536,42.83044747,0.404334811
1,12,0,12,4,-7.43E-08,1.77E-06,0,12059.4606,122.1558707,125.6966372,0.23567941,0.816020115,0.649198048,41.57160244,0.441450462
1,12,0,13,4,8.45E-08,1.77E-06,0,12546.5551,123.8026526,129.0341511,0.281856807,1.133473735,0.878429257,40.7552739,0.466306021
1,12,0,14,4,2.39E-07,1.77E-06,0,12081.8183,118.6857221,129.6116219,0.401856223,0.783646026,0.604610925,40.74135516,0.308374401
1,12,0,15,4,3.94E-07,1.77E-06,0,11780.5052,121.9809761,122.9651179,0.126264757,0.845545586,0.687630444,40.18008887,0.274254442
1,12,0,16,4,5.51E-07,1.76E-06,0,11756.7152,120.0076637,124.7346573,0.272684157,0.873108057,0.699972306,38.73059387,0.342575285
1,12,0,17,4,7.08E-07,1.76E-06,0,11774.1769,117.7150693,127.3528344,0.381612658,1.433335216,1.125483561,39.6464829,0.360183774
1,12,0,18,4,8.65E-07,1.76E-06,0,12301.0892,120.9424942,129.5014911,0.357513107,1.500763274,1.158877216,40.40778523,0.424218707
1,12,0,19,4,1.02E-06,1.76E-06,0,11950.836,121.4306954,125.3083246,0.246843751,0.993231469,0.792630076,41.41717918,0.448977473
1,12,0,20,4,1.18E-06,1.76E-06,0,12332.6655,120.5210531,130.2879213,0.37987879,1.785654657,1.37054505,39.78064912,0.386648335
1,12,0,21,4,1.33E-06,1.76E-06,0,12292.7382,119.0000503,131.525999,0.425912268,1.067537117,0.811654825,41.11362856,0.445155887
1,12,0,22,4,1.49E-06,1.76E-06,0,12548.0846,119.4814594,133.7171279,0.448985724,1.35799313,1.015571566,41.27993562,0.361100421
1,12,0,23,4,1.65E-06,1.76E-06,0,11429.6011,119.4241655,121.8565779,0.198806672,0.906104146,0.743582465,40.86094972,0.361315202
1,12,0,24,4,1.80E-06,1.76E-06,0,11964.8695,117.2556741,129.9224554,0.430679239,0.687886622,0.529459376,41.79093346,0.374463646
