name of the site,location(x_y),area, areaX, perimeter, perimeterX, areaEnclosingCircle, areaFitEllipse, areaMinAreaRectangle, eccentricity, orientation, convexity, 0degDiam, 45degDiam, 90degDiam, 135degDiam
OneDrive_MicronDRAM_Middle_20210121_DMprecision_Run01_Die(-3_2)(0_2)_01, 3562_1272,5.78E-16,7.12E-16,9.14E-08,1.09E-07,6.45E-16,2.35E-15,7.48E-16,0.974702526,114.9123077,0.972375691,5.73E-08,5.55E-08,5.81E-08,5.73E-08
OneDrive_MicronDRAM_Middle_20210121_DMprecision_Run01_Die(-3_2)(0_2)_01, 3836_1272,5.87E-16,7.21E-16,9.19E-08,1.09E-07,6.61E-16,2.37E-15,7.47E-16,0.938446608,88.53676605,0.972760291,5.73E-08,5.64E-08,5.81E-08,5.81E-08
OneDrive_MicronDRAM_Middle_20210121_DMprecision_Run01_Die(-3_2)(0_2)_01, 3930_1276,5.26E-16,6.55E-16,8.74E-08,1.06E-07,5.96E-16,2.13E-15,6.75E-16,0.95270553,96.84618378,0.969065232,5.81E-08,5.47E-08,5.81E-08,5.47E-08
OneDrive_MicronDRAM_Middle_20210121_DMprecision_Run01_Die(-3_2)(0_2)_01, 4022_1276,5.84E-16,7.18E-16,9.19E-08,1.09E-07,6.52E-16,2.37E-15,7.47E-16,0.962004742,84.63960266,0.972627737,5.73E-08,5.64E-08,5.81E-08,5.47E-08
OneDrive_MicronDRAM_Middle_20210121_DMprecision_Run01_Die(-3_2)(0_2)_01, 918_1340,5.59E-16,6.90E-16,8.99E-08,1.06E-07,6.50E-16,2.29E-15,6.99E-16,0.92256361,101.3857193,0.970849176,5.73E-08,5.98E-08,5.81E-08,6.15E-08
OneDrive_MicronDRAM_Middle_20210121_DMprecision_Run01_Die(-3_2)(0_2)_01, 2122_1342,5.63E-16,6.93E-16,8.89E-08,1.06E-07,6.35E-16,2.29E-15,7.01E-16,0.929786251,100.4491806,0.979047619,5.81E-08,6.07E-08,5.81E-08,5.98E-08
OneDrive_MicronDRAM_Middle_20210121_DMprecision_Run01_Die(-3_2)(0_2)_01, 2030_1344,6.13E-16,7.50E-16,9.38E-08,1.13E-07,6.97E-16,2.50E-15,7.95E-16,0.948037775,107.9572906,0.971627099,5.81E-08,5.55E-08,5.81E-08,5.64E-08
OneDrive_MicronDRAM_Middle_20210121_DMprecision_Run01_Die(-3_2)(0_2)_01, 2674_1344,5.84E-16,7.18E-16,9.19E-08,1.09E-07,6.50E-16,2.37E-15,7.48E-16,0.968962968,94.71678925,0.97144593,5.98E-08,5.98E-08,5.81E-08,5.55E-08
OneDrive_MicronDRAM_Middle_20210121_DMprecision_Run01_Die(-3_2)(0_2)_01, 2770_1344,5.93E-16,7.29E-16,9.28E-08,1.13E-07,6.86E-16,2.43E-15,7.71E-16,0.943670549,99.58939362,0.970131422,5.90E-08,5.98E-08,5.81E-08,5.73E-08
OneDrive_MicronDRAM_Middle_20210121_DMprecision_Run01_Die(-3_2)(0_2)_01, 78_1348,6.38E-16,7.78E-16,9.65E-08,1.15E-07,7.32E-16,2.60E-15,8.19E-16,0.933851067,106.3123932,0.971650917,5.64E-08,5.73E-08,5.81E-08,5.64E-08
